user_id,product_id,product_name,category,price,base_price,amount,quantity,supplier,status,region,priority,order_date
U3286,P792,Chair,Furniture,173.8,173.8,869.0,5,Vertex,Pending,North,High,2024-04-14
U4257,P818,Sofa,Furniture,1132.26,1132.26,10190.34,9,Global Ltd,Pending,East,High,2025-10-27
U4527,P204,T-Shirt,Clothing,3505.79,3505.79,21034.74,6,NextGen,Completed,East,Medium,2024-12-10
U7201,P665,Blocks,Toys,4045.28,4045.28,32362.24,8,Vertex,Pending,South,Low,2024-03-21
U2307,P987,Chair,Furniture,276.83,276.83,1107.32,4,NextGen,Pending,West,Low,2024-08-26
U5374,P799,Rice,Groceries,855.14,855.14,5130.84,6,Vertex,Cancelled,South,Low,2025-12-19
U4598,P432,Novel,Books,858.84,858.84,6011.88,7,Global Ltd,Completed,East,Medium,2025-12-02
U6155,P771,Car,Toys,377.63,377.63,3776.3,10,NextGen,Cancelled,West,High,2024-08-05
U8019,P508,Blocks,Toys,741.17,741.17,6670.53,9,Global Ltd,Completed,West,High,2025-08-20
U7916,P165,Monitor,Electronics,4312.46,4312.46,12937.38,3,NextGen,Cancelled,West,Low,2025-09-02
U2876,P649,Blocks,Toys,4856.84,4856.84,4856.84,1,Prime Supplies,Completed,East,Medium,2025-11-29
U3927,P208,Jacket,Clothing,2295.93,2295.93,11479.65,5,Vertex,Cancelled,South,High,2025-06-03
U9689,P713,Bread,Groceries,3824.43,3824.43,34419.87,9,NextGen,Completed,North,Medium,2024-01-01
U2290,P849,Car,Toys,1235.29,1235.29,4941.16,4,ABC Corp,Cancelled,South,High,2024-03-28
U7932,P652,Cream,Beauty,4736.9,4736.9,14210.7,3,Prime Supplies,Pending,East,Medium,2024-08-04
U2160,P343,Headphones,Electronics,1183.26,1183.26,1183.26,1,NextGen,Completed,South,Low,2025-06-10
U4119,P199,Soap,Beauty,1252.84,1252.84,10022.72,8,Prime Supplies,Pending,West,Medium,2024-04-06
U5092,P553,Shampoo,Beauty,743.9,743.9,2231.7,3,ABC Corp,Cancelled,North,High,2024-03-18
U7570,P268,Guide,Books,873.24,873.24,6985.92,8,ABC Corp,Pending,East,Medium,2024-03-01
U8973,P294,Blocks,Toys,2143.89,2143.89,19295.01,9,Global Ltd,Completed,North,Low,2024-06-07
U9701,P158,Rice,Groceries,332.97,332.97,3329.7,10,Global Ltd,Completed,North,Low,2024-06-10
U1651,P183,Guide,Books,2048.69,2048.69,20486.9,10,Vertex,Cancelled,East,Medium,2025-09-26
U7484,P787,Dictionary,Books,3365.14,3365.14,20190.84,6,NextGen,Pending,North,High,2024-05-14
U2200,P318,Perfume,Beauty,3124.74,3124.74,31247.4,10,Global Ltd,Pending,North,High,2025-07-04
U5956,P926,Rice,Groceries,1460.69,1460.69,11685.52,8,Vertex,Pending,North,High,2025-09-18
U3546,P388,Doll,Toys,621.37,621.37,1242.74,2,Prime Supplies,Completed,East,Low,2024-10-05
U8007,P109,Puzzle,Toys,849.83,849.83,6798.64,8,ABC Corp,Cancelled,South,Low,2025-07-28
U8041,P142,Headphones,Electronics,4181.25,4181.25,41812.5,10,Prime Supplies,Completed,East,High,2024-05-10
U7658,P867,Notebook,Books,3351.32,3351.32,20107.92,6,Global Ltd,Completed,South,Medium,2025-09-27
U7745,P984,Phone,Electronics,937.84,937.84,5627.04,6,Prime Supplies,Completed,North,Medium,2025-11-16
U8541,P412,Phone,Electronics,4300.04,4300.04,17200.16,4,Global Ltd,Completed,South,Medium,2024-12-24
U5573,P756,Tea,Groceries,1429.09,1429.09,2858.18,2,Vertex,Pending,North,High,2024-12-25
U5920,P416,Tea,Groceries,3134.62,3134.62,6269.24,2,Prime Supplies,Pending,East,Low,2025-06-03
U3851,P682,Jacket,Clothing,999.61,999.61,6997.27,7,NextGen,Cancelled,North,Medium,2025-09-22
U6279,P552,Car,Toys,1090.4,1090.4,10904.0,10,Global Ltd,Cancelled,West,Low,2025-04-21
U6491,P938,Jeans,Clothing,3311.31,3311.31,16556.55,5,Prime Supplies,Completed,South,High,2024-04-05
U2193,P524,Phone,Electronics,278.76,278.76,2230.08,8,NextGen,Pending,West,High,2025-04-11
U2746,P324,Jeans,Clothing,3297.49,3297.49,3297.49,1,Vertex,Pending,North,Low,2025-03-11
U8612,P643,Dictionary,Books,4591.48,4591.48,9182.96,2,NextGen,Cancelled,West,Low,2025-11-14
U5050,P383,Soap,Beauty,4491.18,4491.18,35929.44,8,Global Ltd,Pending,West,High,2025-10-14
U9849,P241,Doll,Toys,1210.74,1210.74,7264.44,6,Global Ltd,Pending,South,Low,2024-03-23
