product_id,product_name,category,subcategory,cost_price
PROD0001,Comics,Books,Comics,20100
PROD0002,Jeans,Clothing,Jeans,1650
PROD0003,T-Shirt,Clothing,T-Shirt,21612
PROD0004,Chair,Home,Chair,18392
PROD0005,Lamp,Home,Lamp,44632
PROD0006,Chair,Home,Chair,7659
PROD0007,Table,Home,Table,38149
PROD0008,Chair,Home,Chair,7204
PROD0009,Comics,Books,Comics,47845
PROD0010,Lamp,Home,Lamp,39828
PROD0011,Headphones,Electronics,Headphones,37887
PROD0012,Jacket,Clothing,Jacket,3008
PROD0013,Novel,Books,Novel,34173
PROD0014,Jacket,Clothing,Jacket,28365
PROD0015,Tablet,Electronics,Tablet,40939
PROD0016,Chair,Home,Chair,47269
PROD0017,Sofa,Home,Sofa,43805
PROD0018,Comics,Books,Comics,26471
PROD0019,Table,Home,Table,12672
PROD0020,Dictionary,Books,Dictionary,44488
PROD0021,Jacket,Clothing,Jacket,26712
PROD0022,Tablet,Electronics,Tablet,18903
PROD0023,T-Shirt,Clothing,T-Shirt,38109
PROD0024,Lamp,Home,Lamp,29052
PROD0025,Biography,Books,Biography,33600
PROD0026,Biography,Books,Biography,43278
PROD0027,Tablet,Electronics,Tablet,33880
PROD0028,Chair,Home,Chair,49326
PROD0029,Jacket,Clothing,Jacket,14822
PROD0030,Jeans,Clothing,Jeans,1700
PROD0031,Mobile,Electronics,Mobile,31238
PROD0032,Headphones,Electronics,Headphones,27260
PROD0033,T-Shirt,Clothing,T-Shirt,32499
PROD0034,Biography,Books,Biography,9771
PROD0035,Laptop,Electronics,Laptop,27962
PROD0036,Jeans,Clothing,Jeans,45707
PROD0037,Novel,Books,Novel,36630
PROD0038,Shirt,Clothing,Shirt,30014
PROD0039,T-Shirt,Clothing,T-Shirt,43850
PROD0040,Lamp,Home,Lamp,40250
PROD0041,Dictionary,Books,Dictionary,10530
PROD0042,Dictionary,Books,Dictionary,17086
PROD0043,Jacket,Clothing,Jacket,34263
PROD0044,Biography,Books,Biography,18096
PROD0045,Novel,Books,Novel,46862
PROD0046,Table,Home,Table,17907
PROD0047,Sofa,Home,Sofa,35499
PROD0048,Mobile,Electronics,Mobile,9984
PROD0049,T-Shirt,Clothing,T-Shirt,45578
PROD0050,Jeans,Clothing,Jeans,4309
PROD0051,Dictionary,Books,Dictionary,21784
PROD0052,Dictionary,Books,Dictionary,4180
PROD0053,T-Shirt,Clothing,T-Shirt,25624
PROD0054,Headphones,Electronics,Headphones,31359
PROD0055,Tablet,Electronics,Tablet,19669
PROD0056,Dictionary,Books,Dictionary,35372
PROD0057,T-Shirt,Clothing,T-Shirt,14480
PROD0058,Lamp,Home,Lamp,31927
PROD0059,Headphones,Electronics,Headphones,22128
PROD0060,Biography,Books,Biography,30730
PROD0061,Shirt,Clothing,Shirt,25922
PROD0062,Laptop,Electronics,Laptop,42223
PROD0063,Biography,Books,Biography,30357
PROD0064,Shirt,Clothing,Shirt,17149
PROD0065,Comics,Books,Comics,13971
PROD0066,Comics,Books,Comics,22218
PROD0067,Comics,Books,Comics,49383
PROD0068,Comics,Books,Comics,5467
PROD0069,Novel,Books,Novel,49188
PROD0070,Tablet,Electronics,Tablet,14794
PROD0071,Laptop,Electronics,Laptop,49529
PROD0072,Mobile,Electronics,Mobile,13165
PROD0073,Mobile,Electronics,Mobile,15733
PROD0074,T-Shirt,Clothing,T-Shirt,43973
PROD0075,Mobile,Electronics,Mobile,30576
PROD0076,Sofa,Home,Sofa,11096
PROD0077,Mobile,Electronics,Mobile,20484
PROD0078,Laptop,Electronics,Laptop,20544
PROD0079,Dictionary,Books,Dictionary,46959
PROD0080,Shirt,Clothing,Shirt,38903
PROD0081,Shirt,Clothing,Shirt,45791
PROD0082,Chair,Home,Chair,37188
PROD0083,Tablet,Electronics,Tablet,35013
PROD0084,Comics,Books,Comics,4619
PROD0085,Chair,Home,Chair,27628
PROD0086,Novel,Books,Novel,28511
PROD0087,Lamp,Home,Lamp,46454
PROD0088,T-Shirt,Clothing,T-Shirt,11643
PROD0089,Lamp,Home,Lamp,30565
PROD0090,Comics,Books,Comics,21222
PROD0091,Shirt,Clothing,Shirt,18379
PROD0092,Biography,Books,Biography,49283
PROD0093,Dictionary,Books,Dictionary,22146
PROD0094,Headphones,Electronics,Headphones,21400
PROD0095,T-Shirt,Clothing,T-Shirt,14001
PROD0096,Sofa,Home,Sofa,22404
PROD0097,Sofa,Home,Sofa,36524
PROD0098,Mobile,Electronics,Mobile,5710
PROD0099,T-Shirt,Clothing,T-Shirt,32119
PROD0100,T-Shirt,Clothing,T-Shirt,42429
PROD0101,Dictionary,Books,Dictionary,1230
PROD0102,Tablet,Electronics,Tablet,14622
PROD0103,Biography,Books,Biography,20167
PROD0104,Lamp,Home,Lamp,36372
PROD0105,Lamp,Home,Lamp,48985
PROD0106,Sofa,Home,Sofa,46162
PROD0107,Comics,Books,Comics,20194
PROD0108,Table,Home,Table,8007
PROD0109,Jacket,Clothing,Jacket,7935
PROD0110,Jeans,Clothing,Jeans,14280
PROD0111,Comics,Books,Comics,47586
PROD0112,Chair,Home,Chair,12821
PROD0113,Table,Home,Table,23750
PROD0114,Jacket,Clothing,Jacket,1027
PROD0115,Jacket,Clothing,Jacket,3082
PROD0116,Tablet,Electronics,Tablet,45805
PROD0117,T-Shirt,Clothing,T-Shirt,6823
PROD0118,Tablet,Electronics,Tablet,30862
PROD0119,Dictionary,Books,Dictionary,22428
PROD0120,Shirt,Clothing,Shirt,16646
PROD0121,Novel,Books,Novel,4382
PROD0122,Dictionary,Books,Dictionary,4955
PROD0123,Mobile,Electronics,Mobile,9877
PROD0124,Chair,Home,Chair,16365
PROD0125,Headphones,Electronics,Headphones,39835
PROD0126,T-Shirt,Clothing,T-Shirt,29624
PROD0127,Comics,Books,Comics,38669
PROD0128,Comics,Books,Comics,37365
PROD0129,Laptop,Electronics,Laptop,13717
PROD0130,Jacket,Clothing,Jacket,43381
PROD0131,Mobile,Electronics,Mobile,15819
PROD0132,Shirt,Clothing,Shirt,10358
PROD0133,Headphones,Electronics,Headphones,29624
PROD0134,Comics,Books,Comics,2239
PROD0135,Jacket,Clothing,Jacket,46431
PROD0136,Lamp,Home,Lamp,4764
PROD0137,Jacket,Clothing,Jacket,41063
PROD0138,T-Shirt,Clothing,T-Shirt,7621
PROD0139,Jeans,Clothing,Jeans,17508
PROD0140,Shirt,Clothing,Shirt,4008
PROD0141,Jacket,Clothing,Jacket,39096
PROD0142,Lamp,Home,Lamp,8249
PROD0143,Comics,Books,Comics,45957
PROD0144,Comics,Books,Comics,32898
PROD0145,Dictionary,Books,Dictionary,5371
PROD0146,Headphones,Electronics,Headphones,48238
PROD0147,Sofa,Home,Sofa,1795
PROD0148,Mobile,Electronics,Mobile,44290
PROD0149,Tablet,Electronics,Tablet,37864
PROD0150,Mobile,Electronics,Mobile,30934
PROD0151,Comics,Books,Comics,11994
PROD0152,Dictionary,Books,Dictionary,6079
PROD0153,Comics,Books,Comics,26861
PROD0154,Sofa,Home,Sofa,44017
PROD0155,Mobile,Electronics,Mobile,21714
PROD0156,Dictionary,Books,Dictionary,18988
PROD0157,Novel,Books,Novel,29907
PROD0158,Tablet,Electronics,Tablet,16641
