item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM0001,ORD99999,PROD0122,5,21040,94
ITEM0002,ORD0358,PROD0184,5,2048,90
ITEM0003,ORD0359,PROD0181,5,37136,18
ITEM0004,ORD0289,PROD0486,2,55033,63
ITEM0005,ORD0278,PROD0159,-2,32341,4
ITEM0006,ORD0047,PROD0029,2,39630,28
ITEM0007,ORD0011,PROD0270,4,244,42
ITEM0008,ORD0470,PROD0315,2,53051,16
ITEM0009,ORD0175,PROD0368,2,52787,41
ITEM0010,ORD0031,PROD0012,2,38644,90
ITEM0011,ORD0470,PROD0073,1,55674,67
ITEM0012,ORD0441,PROD0187,1,24683,90
ITEM0013,ORD0483,PROD0340,4,38605,12
ITEM0014,ORD0173,PROD0155,3,9142,20
ITEM0015,ORD0375,PROD0486,4,52094,81
ITEM0016,ORD0492,PROD0250,3,11616,90
ITEM0017,ORD0496,PROD0288,5,51776,45
ITEM0018,ORD0115,PROD0341,5,53576,22
ITEM0019,ORD0194,PROD0158,3,8545,22
ITEM0020,ORD0374,PROD0001,5,25863,98
ITEM0021,ORD0495,PROD0291,1,12132,77
ITEM0022,ORD0163,PROD0472,5,14676,81
ITEM0023,ORD0290,PROD0054,4,9417,42
ITEM0024,ORD0382,PROD0040,2,22928,40
ITEM0025,ORD0086,PROD0326,1,54048,90
ITEM0026,ORD0344,PROD0328,3,29470,1
ITEM0027,ORD0136,PROD0108,2,45627,8
ITEM0028,ORD0180,PROD0132,1,47413,0
ITEM0029,ORD0025,PROD0198,4,48210,53
ITEM0030,ORD0497,PROD0086,4,32514,48
ITEM0031,ORD0180,PROD0280,4,6847,61
ITEM0032,ORD0404,PROD0443,5,42861,97
ITEM0033,ORD0352,PROD0116,2,29775,9
ITEM0034,ORD0410,PROD0434,1,19527,2
ITEM0035,ORD0164,PROD0134,1,5062,43
ITEM0036,ORD0088,PROD0455,4,10745,93
ITEM0037,ORD0039,PROD0281,1,22347,76
ITEM0038,ORD0105,PROD0315,4,46370,3
ITEM0039,ORD0221,PROD0483,2,40001,55
ITEM0040,ORD0081,PROD0028,1,21898,26
ITEM0041,ORD0499,PROD0098,4,45891,70
ITEM0042,ORD0370,PROD0474,5,17584,84
ITEM0043,ORD0145,PROD0153,2,6485,6
ITEM0044,ORD0202,PROD0293,5,55240,62
ITEM0045,ORD0079,PROD0028,3,450,54
ITEM0046,ORD0045,PROD0151,5,31678,25
ITEM0047,ORD0050,PROD0014,2,11395,81
ITEM0048,ORD0150,PROD0362,1,31235,14
ITEM0049,ORD0158,PROD0402,4,31063,62
ITEM0050,ORD0459,PROD0339,3,6172,82
ITEM0051,ORD0279,PROD0199,2,24515,48
ITEM0052,ORD0190,PROD0096,4,3124,33
ITEM0053,ORD0226,PROD0239,3,15027,34
ITEM0054,ORD0289,PROD0032,2,49498,89
ITEM0055,ORD0342,PROD0050,1,43987,44
ITEM0056,ORD0414,PROD0278,4,49775,75
ITEM0057,ORD0117,PROD0284,1,55302,49
ITEM0058,ORD0420,PROD0268,4,35295,87
ITEM0059,ORD0444,PROD0480,4,37733,30
ITEM0060,ORD0244,PROD0154,1,26073,91
ITEM0061,ORD0018,PROD0258,5,59212,66
ITEM0062,ORD0410,PROD0293,5,9863,15
ITEM0063,ORD0487,PROD0388,4,11529,21
ITEM0064,ORD0498,PROD0109,2,8469,5
ITEM0065,ORD0217,PROD0041,4,13432,80
ITEM0066,ORD0076,PROD0428,5,17100,40
ITEM0067,ORD0467,PROD0373,1,5903,49
ITEM0068,ORD0285,PROD0204,5,21573,35
ITEM0069,ORD0267,PROD0235,1,51747,89
ITEM0070,ORD0320,PROD0301,5,51428,53
ITEM0071,ORD0058,PROD0213,2,9912,72
ITEM0072,ORD0302,PROD0299,1,7122,72
ITEM0073,ORD0400,PROD0052,3,57050,68
ITEM0074,ORD0451,PROD0177,4,17510,49
ITEM0075,ORD0336,PROD0249,5,40108,60
ITEM0076,ORD0020,PROD0089,3,26609,18
ITEM0077,ORD0317,PROD0312,4,2741,50
ITEM0078,ORD0456,PROD0451,3,45453,30
ITEM0079,ORD0026,PROD0382,4,17801,47
ITEM0080,ORD0011,PROD0173,3,20578,35
ITEM0081,ORD0432,PROD0252,1,57144,29
ITEM0082,ORD0069,PROD0154,4,50926,41
ITEM0083,ORD0138,PROD0374,4,39847,82
ITEM0084,ORD0046,PROD0097,4,14053,52
ITEM0085,ORD0380,PROD0249,5,57032,47
ITEM0086,ORD0421,PROD0029,5,52071,20
ITEM0087,ORD0034,PROD0160,5,26636,17
ITEM0088,ORD0400,PROD0436,5,57827,72
ITEM0089,ORD0015,PROD0089,2,57555,25
ITEM0090,ORD0429,PROD0030,2,2367,58
ITEM0091,ORD0026,PROD0471,3,46378,25
ITEM0092,ORD0141,PROD0189,4,33303,50
ITEM0093,ORD0326,PROD0473,1,44841,3
ITEM0094,ORD0124,PROD0191,4,39131,57
ITEM0095,ORD0091,PROD0492,4,38661,70
ITEM0096,ORD0180,PROD0177,2,55096,33
ITEM0097,ORD0384,PROD0426,1,18882,3
ITEM0098,ORD0198,PROD0026,2,56156,73
ITEM0099,ORD0400,PROD0495,2,56371,28
ITEM0100,ORD0332,PROD0116,2,17834,83
ITEM0101,ORD0210,PROD0263,1,56864,99
ITEM0102,ORD0496,PROD0393,1,31270,16
ITEM0103,ORD0332,PROD0089,5,52685,1
ITEM0104,ORD0115,PROD0130,5,52962,39
ITEM0105,ORD0365,PROD0496,3,27974,48
ITEM0106,ORD0437,PROD0179,4,16714,27
ITEM0107,ORD0239,PROD0155,5,54222,79
ITEM0108,ORD0204,PROD0300,1,681,65
ITEM0109,ORD0340,PROD0495,3,36995,82
ITEM0110,ORD0305,PROD0312,3,19760,87
ITEM0111,ORD0056,PROD0247,1,22238,35
ITEM0112,ORD0328,PROD0167,3,17314,83
ITEM0113,ORD0365,PROD0488,3,12544,19
ITEM0114,ORD0265,PROD0392,2,59161,7
ITEM0115,ORD0413,PROD0439,5,26682,84
ITEM0116,ORD0164,PROD0349,-2,47470,3
ITEM0117,ORD0336,PROD0255,3,17201,53
ITEM0118,ORD0208,PROD0199,1,38409,90
ITEM0119,ORD0451,PROD0293,2,22689,92
ITEM0120,ORD0366,PROD0114,5,42032,100
ITEM0121,ORD0244,PROD0465,3,33447,38
ITEM0122,ORD0433,PROD0088,5,12070,37
ITEM0123,ORD0050,PROD0242,2,48756,33
ITEM0124,ORD0372,PROD0414,5,50198,23
ITEM0125,ORD0485,PROD0349,3,43089,11
ITEM0126,ORD0114,PROD0182,2,48972,39
ITEM0127,ORD0216,PROD0404,3,24558,33
ITEM0128,ORD0300,PROD0151,4,55985,15
ITEM0129,ORD0241,PROD0028,5,38231,79
ITEM0130,ORD0037,PROD0242,2,32999,15
ITEM0131,ORD0445,PROD0349,4,34923,38
ITEM0132,ORD0212,PROD0028,2,9202,25
ITEM0133,ORD0176,PROD0210,5,58713,58
ITEM0134,ORD0074,PROD0162,2,51248,10
ITEM0135,ORD0250,PROD0171,2,20739,81
ITEM0136,ORD0030,PROD0003,4,18125,26
ITEM0137,ORD0390,PROD0397,2,37967,97
ITEM0138,ORD0082,PROD0251,1,8680,78
ITEM0139,ORD0223,PROD0325,4,26636,54
ITEM0140,ORD0495,PROD0245,4,505,4
ITEM0141,ORD0274,PROD0103,3,1122,41
ITEM0142,ORD0388,PROD0427,5,12689,2
ITEM0143,ORD0347,PROD0003,2,15028,88
ITEM0144,ORD0450,PROD0177,3,8649,13
ITEM0145,ORD0197,PROD0258,5,20261,21
ITEM0146,ORD0034,PROD0422,1,19742,37
ITEM0147,ORD0234,PROD0373,5,39283,67
ITEM0148,ORD0173,PROD0223,2,22661,62
ITEM0149,ORD0184,PROD0385,2,11005,51
ITEM0150,ORD0010,PROD0117,2,47855,16
ITEM0151,ORD0109,PROD0376,-1,38846,64
ITEM0152,ORD0087,PROD0064,3,46803,83
ITEM0153,ORD0406,PROD0020,4,57645,81
ITEM0154,ORD0131,PROD0395,5,41037,6
ITEM0155,ORD0305,PROD0451,1,43582,13
ITEM0156,ORD0335,PROD0429,1,3361,88
ITEM0157,ORD0060,PROD0214,4,25120,15
ITEM0158,ORD0281,PROD0130,4,46197,19
ITEM0159,ORD0106,PROD0356,1,19933,53
ITEM0160,ORD0339,PROD0052,5,17893,79
ITEM0161,ORD0311,PROD0359,2,27648,13
ITEM0162,ORD0262,PROD0369,5,7915,36
ITEM0163,ORD0059,PROD0402,1,32819,25
ITEM0164,ORD0312,PROD0103,3,54693,66
ITEM0165,ORD0499,PROD0104,3,46300,52
ITEM0166,ORD0152,PROD0083,1,36122,63
ITEM0167,ORD0467,PROD0107,4,21866,30
ITEM0168,ORD0002,PROD0007,1,59633,14
ITEM0169,ORD0428,PROD0294,4,9974,11
ITEM0170,ORD0400,PROD0262,1,47619,92
ITEM0171,ORD0052,PROD0464,3,42427,29
ITEM0172,ORD0234,PROD0378,3,17509,59
ITEM0173,ORD0026,PROD0052,2,57487,5
ITEM0174,ORD0437,PROD0149,3,52733,86
ITEM0175,ORD0161,PROD0219,1,6425,97
ITEM0176,ORD0456,PROD0024,1,56036,17
ITEM0177,ORD0340,PROD0332,2,21739,45
ITEM0178,ORD0458,PROD0225,5,17783,93
ITEM0179,ORD0048,PROD0191,3,12184,14
ITEM0180,ORD0206,PROD0205,4,18014,49
ITEM0181,ORD0354,PROD0436,4,52622,53
ITEM0182,ORD0333,PROD0454,2,7609,16
ITEM0183,ORD0357,PROD0372,1,55535,20
ITEM0184,ORD0054,PROD0214,5,31832,72
ITEM0185,ORD0348,PROD0225,2,40263,48
ITEM0186,ORD0399,PROD0184,5,2088,87
ITEM0187,ORD0451,PROD0430,2,31859,62
ITEM0188,ORD0058,PROD0455,4,29080,5
ITEM0189,ORD0033,PROD0134,3,1010,90
ITEM0190,ORD0445,PROD0348,5,50500,95
ITEM0191,ORD0296,PROD0371,5,14879,85
ITEM0192,ORD0448,PROD0174,5,34482,88
ITEM0193,ORD0359,PROD0317,1,28567,84
ITEM0194,ORD0373,PROD0128,4,22859,84
ITEM0195,ORD0347,PROD0329,4,9942,71
ITEM0196,ORD0457,PROD0395,5,3776,1
ITEM0197,ORD0330,PROD0479,2,33332,60
ITEM0198,ORD0437,PROD0254,2,5106,96
ITEM0199,ORD0252,PROD0165,2,21885,35
ITEM0200,ORD0026,PROD0260,2,36277,82
ITEM0201,ORD0194,PROD0207,2,5366,58
ITEM0202,ORD0228,PROD0411,5,29566,11
ITEM0203,ORD0439,PROD0256,4,20913,15
ITEM0204,ORD0375,PROD0255,1,6926,51
ITEM0205,ORD0212,PROD0019,5,36185,0
ITEM0206,ORD0423,PROD0047,5,40771,81
ITEM0207,ORD0156,PROD0456,5,37053,26
ITEM0208,ORD0336,PROD0344,4,22538,46
ITEM0209,ORD0423,PROD0028,2,55533,58
ITEM0210,ORD0170,PROD0287,5,39518,60
ITEM0211,ORD0367,PROD0337,3,47118,57
ITEM0212,ORD0059,PROD0050,2,343,43
ITEM0213,ORD0182,PROD0425,3,36093,66
ITEM0214,ORD0192,PROD0360,1,3200,21
ITEM0215,ORD0253,PROD0072,4,7209,32
ITEM0216,ORD0313,PROD0101,2,8113,50
ITEM0217,ORD0111,PROD0235,2,47175,43
ITEM0218,ORD0056,PROD0388,4,3247,81
ITEM0219,ORD0429,PROD0345,5,8275,98
ITEM0220,ORD0457,PROD0231,4,43352,75
ITEM0221,ORD0490,PROD0259,2,32891,0
ITEM0222,ORD0272,PROD0377,1,36456,55
ITEM0223,ORD0430,PROD0300,4,33514,99
ITEM0224,ORD0472,PROD0467,2,45538,74
ITEM0225,ORD0089,PROD0375,2,6986,49
ITEM0226,ORD0337,PROD0308,5,58048,41
ITEM0227,ORD0259,PROD0452,4,27637,77
ITEM0228,ORD0469,PROD0355,2,18130,50
ITEM0229,ORD0494,PROD0176,3,29877,17
ITEM0230,ORD0071,PROD0212,5,46076,95
ITEM0231,ORD0263,PROD0154,5,56607,40
ITEM0232,ORD0365,PROD0378,5,41656,27
ITEM0233,ORD0103,PROD0108,5,47017,37
ITEM0234,ORD0352,PROD0177,2,46756,83
ITEM0235,ORD0500,PROD0491,2,33223,69
ITEM0236,ORD0356,PROD0327,3,46753,14
ITEM0237,ORD0390,PROD0181,5,31681,74
ITEM0238,ORD0293,PROD0483,4,44387,95
ITEM0239,ORD0458,PROD0431,5,18938,54
ITEM0240,ORD0414,PROD0007,5,7177,3
ITEM0241,ORD0196,PROD0075,1,44125,7
ITEM0242,ORD0103,PROD0137,2,18983,87
ITEM0243,ORD0129,PROD0075,1,45458,100
ITEM0244,ORD0152,PROD0105,5,2317,45
ITEM0245,ORD0417,PROD0232,1,40577,86
ITEM0246,ORD0379,PROD0288,2,48854,82
