order_id,customer_id,order_date,status,region_code
ORD0001,CUST0477,2025-09-10 04:16:53,RETURNED,EAST
ORD0002,CUST0084,2026-04-24 04:48:40,CANCELLED,EAST
ORD0003,CUST0304,2026-01-16 07:53:34,DELIVERED,WEST
ORD0004,CUST0363,2026-06-01 22:48:05,RETURNED,EAST
ORD0005,CUST0244,2026-02-15 08:02:55,PLACED,EAST
ORD0006,CUST0170,2026-03-13 14:43:02,PLACED,WEST
ORD0007,CUST0299,2025-06-22 13:14:10,DELIVERED,NORTH
ORD0008,CUST0306,2025-12-03 16:35:23,CANCELLED,EAST
ORD0009,CUST0496,2026-04-14 21:13:15,RETURNED,SOUTH
ORD0010,CUST0370,2026-07-19 10:02:48,PLACED,WEST
ORD0011,CUST0088,2024-09-13 12:14:23,RETURNED,WEST
ORD0012,CUST0076,2026-02-19 14:52:13,SHIPPED,NORTH
ORD0013,CUST0294,2026-01-03 08:35:41,PLACED,SOUTH
ORD0014,,2024-11-15 22:00:34,CANCELLED,EAST
ORD0015,CUST0215,2024-08-06 22:36:12,SHIPPED,WEST
ORD0016,,2025-07-11 04:23:42,SHIPPED,WEST
ORD0017,CUST0257,2026-01-27 07:12:35,RETURNED,WEST
ORD0018,CUST0447,2025-04-03 03:26:21,PLACED,SOUTH
ORD0019,CUST0266,2024-08-17 22:04:06,SHIPPED,EAST
ORD0020,CUST0340,2024-09-25 11:19:27,CANCELLED,WEST
ORD0021,CUST0161,2024-09-14 09:15:31,SHIPPED,WEST
ORD0022,CUST0468,2024-08-30 15:26:47,RETURNED,EAST
ORD0023,CUST0280,2024-12-04 17:49:50,DELIVERED,EAST
ORD0024,CUST0313,2026-03-28 09:03:11,CANCELLED,SOUTH
ORD0025,CUST0491,2025-01-31 03:43:18,SHIPPED,EAST
ORD0026,CUST0286,2025-09-25 23:15:36,DELIVERED,SOUTH
ORD0027,CUST0483,2024-09-12 04:57:07,DELIVERED,EAST
ORD0028,CUST0361,2025-10-09 01:53:25,SHIPPED,WEST
ORD0029,CUST0163,18-04-2026 15:54:38,CANCELLED,EAST
ORD0030,,2025-01-12 07:26:18,DELIVERED,EAST
ORD0031,CUST0063,2026-06-27 01:50:13,RETURNED,WEST
ORD0032,CUST0459,2025-02-05 09:21:49,CANCELLED,EAST
ORD0033,CUST0489,2025-06-01 02:38:31,SHIPPED,EAST
ORD0034,CUST0022,2025-05-16 21:16:06,DELIVERED,NORTH
ORD0035,CUST0178,2025-07-04 21:24:29,CANCELLED,EAST
ORD0036,CUST0383,2025-11-20 23:55:03,CANCELLED,SOUTH
ORD0037,CUST0104,2025-05-29 15:16:26,RETURNED,EAST
ORD0038,CUST0478,2025-06-20 19:59:17,RETURNED,EAST
ORD0039,CUST0071,2025-03-22 06:01:08,PLACED,SOUTH
ORD0040,CUST0125,2024-08-01 14:41:12,PLACED,SOUTH
ORD0041,CUST0327,2025-05-18 00:39:26,SHIPPED,NORTH
ORD0042,CUST0052,2025-12-24 11:00:52,CANCELLED,EAST
ORD0043,CUST0368,2024-10-19 09:11:44,CANCELLED,NORTH
ORD0044,CUST0349,2025-09-07 21:51:06,SHIPPED,NORTH
ORD0045,CUST0494,2024-07-24 01:46:49,RETURNED,SOUTH
ORD0046,CUST0209,2025-11-29 16:48:10,CANCELLED,WEST
ORD0047,CUST0334,2026-01-29 22:54:52,SHIPPED,EAST
ORD0048,CUST0165,2025-11-11 18:41:02,DELIVERED,NORTH
ORD0049,CUST0465,2024-09-06 14:39:01,PLACED,SOUTH
ORD0050,CUST0274,2026-02-26 15:56:35,PLACED,SOUTH
ORD0051,CUST0214,2026-02-18 21:21:05,SHIPPED,NORTH
ORD0052,CUST0429,17-10-2025 08:20:27,CANCELLED,WEST
ORD0053,CUST0096,2024-08-23 20:18:43,DELIVERED,NORTH
ORD0054,CUST0005,2026-01-14 21:12:15,DELIVERED,NORTH
ORD0055,CUST0476,2026-05-09 08:21:56,DELIVERED,EAST
ORD0056,CUST0233,2024-09-13 20:58:54,RETURNED,WEST
ORD0057,CUST0456,2025-04-23 07:49:48,SHIPPED,WEST
ORD0058,CUST0140,2026-07-10 07:52:49,SHIPPED,NORTH
ORD0059,CUST0170,2025-08-14 01:22:35,SHIPPED,WEST
ORD0060,CUST0332,2024-10-09 22:19:34,DELIVERED,SOUTH
ORD0061,CUST0008,2025-03-01 14:45:43,DELIVERED,EAST
ORD0062,CUST0291,2026-03-22 16:32:40,SHIPPED,SOUTH
ORD0063,CUST0313,2026-01-03 05:31:16,CANCELLED,WEST
ORD0064,CUST0264,2025-03-10 13:24:02,DELIVERED,NORTH
ORD0065,CUST0206,2025-11-02 15:01:23,PLACED,SOUTH
ORD0066,CUST0375,2024-09-24 16:23:26,SHIPPED,WEST
ORD0067,CUST0166,2025-02-23 03:40:54,SHIPPED,NORTH
ORD0068,CUST0134,2026-03-05 21:33:43,CANCELLED,SOUTH
ORD0069,CUST0229,2026-07-09 06:35:11,DELIVERED,EAST
ORD0070,CUST0155,2025-06-24 10:41:28,RETURNED,NORTH
ORD0071,CUST0134,2025-05-11 17:52:50,DELIVERED,SOUTH
ORD0072,CUST0032,2025-05-22 09:15:40,PLACED,WEST
ORD0073,CUST0158,2026-04-19 01:17:17,SHIPPED,WEST
ORD0074,CUST0352,2025-12-14 16:35:20,RETURNED,EAST
ORD0075,CUST0354,2024-08-12 10:19:37,PLACED,EAST
ORD0076,CUST0189,2025-07-22 15:35:13,RETURNED,SOUTH
ORD0077,CUST0113,2024-11-17 21:53:49,SHIPPED,WEST
ORD0078,CUST0079,2025-09-06 20:22:34,CANCELLED,EAST
ORD0079,CUST0213,2025-01-06 06:24:38,RETURNED,WEST
ORD0080,CUST0388,2024-11-02 10:09:03,RETURNED,SOUTH
ORD0081,CUST0391,2026-02-19 12:19:05,SHIPPED,NORTH
ORD0082,CUST0270,19-05-2025 04:26:45,CANCELLED,EAST
ORD0083,CUST0040,2026-03-30 08:41:37,RETURNED,NORTH
ORD0084,CUST0032,2026-03-30 22:00:25,RETURNED,SOUTH
ORD0085,CUST0294,2026-05-10 07:02:13,RETURNED,SOUTH
ORD0086,CUST0085,2025-09-16 08:51:28,DELIVERED,WEST
ORD0087,CUST0060,2025-03-05 14:36:48,SHIPPED,WEST
ORD0088,CUST0047,2025-11-23 23:17:03,RETURNED,WEST
ORD0089,CUST0415,08-11-2024 09:34:44,PLACED,WEST
ORD0090,CUST0068,2025-03-07 23:59:32,RETURNED,WEST
ORD0091,CUST0234,2025-12-27 13:23:57,RETURNED,NORTH
ORD0092,CUST0287,2026-06-08 10:17:12,CANCELLED,EAST
ORD0093,,2026-06-29 13:09:36,PLACED,WEST
ORD0094,CUST0131,2026-03-29 00:00:34,PLACED,SOUTH
ORD0095,CUST0297,2026-05-24 00:27:30,PLACED,NORTH
ORD0096,CUST0217,2026-02-05 23:24:42,DELIVERED,NORTH
ORD0097,CUST0278,2025-12-04 18:18:17,PLACED,NORTH
ORD0098,CUST0105,2025-05-05 07:28:23,CANCELLED,NORTH
ORD0099,CUST0147,2024-07-28 03:40:16,CANCELLED,SOUTH
ORD0100,CUST0394,2025-09-22 10:15:18,SHIPPED,WEST
ORD0101,CUST0192,2026-05-29 22:39:13,CANCELLED,WEST
ORD0102,CUST0446,2025-09-23 15:03:59,CANCELLED,WEST
ORD0103,CUST0042,2024-11-06 07:12:58,RETURNED,SOUTH
ORD0104,CUST0335,2024-10-23 05:05:10,DELIVERED,NORTH
ORD0105,CUST0092,2024-08-20 22:31:27,RETURNED,WEST
ORD0106,CUST0271,2024-07-23 09:34:45,SHIPPED,SOUTH
ORD0107,CUST0428,2025-10-07 08:03:53,PLACED,NORTH
ORD0108,CUST0362,2025-10-25 22:16:10,DELIVERED,WEST
ORD0109,CUST0345,2025-05-21 14:01:54,RETURNED,WEST
ORD0110,CUST0273,2025-09-09 17:03:22,CANCELLED,SOUTH
ORD0111,CUST0127,2025-09-17 18:25:49,CANCELLED,EAST
ORD0112,CUST0080,2024-09-23 14:41:45,DELIVERED,SOUTH
ORD0113,,13-03-2025 03:40:16,PLACED,NORTH
ORD0114,CUST0415,2024-12-29 15:29:09,CANCELLED,NORTH
ORD0115,CUST0124,2026-02-20 17:04:32,SHIPPED,NORTH
ORD0116,CUST0052,2026-02-15 09:04:56,RETURNED,NORTH
ORD0117,CUST0229,2026-06-21 07:08:29,RETURNED,NORTH
ORD0118,CUST0126,2026-02-03 08:16:09,PLACED,WEST
ORD0119,CUST0225,2025-04-12 13:40:32,SHIPPED,SOUTH
ORD0120,,2024-12-30 22:52:44,PLACED,SOUTH
ORD0121,CUST0258,2025-06-05 00:15:13,DELIVERED,SOUTH
ORD0122,CUST0418,2026-06-22 21:56:47,RETURNED,EAST
ORD0123,CUST0296,2025-12-03 04:51:08,RETURNED,EAST
ORD0124,CUST0122,11-05-2026 20:09:35,DELIVERED,SOUTH
ORD0125,CUST0105,2025-08-21 14:29:28,RETURNED,SOUTH
ORD0126,CUST0212,2024-11-07 03:22:20,DELIVERED,EAST
ORD0127,CUST0032,21-11-2024 12:13:23,RETURNED,SOUTH
ORD0128,CUST0321,2024-12-09 09:41:21,CANCELLED,WEST
ORD0129,CUST0025,2025-01-06 23:36:08,DELIVERED,WEST
ORD0130,CUST0403,2025-11-10 15:23:05,RETURNED,EAST
ORD0131,CUST0357,2026-04-28 20:39:13,CANCELLED,WEST
ORD0132,CUST0077,2025-01-31 19:15:52,DELIVERED,WEST
ORD0133,CUST0095,2024-12-17 10:19:10,RETURNED,WEST
ORD0134,CUST0124,2024-10-16 12:32:07,SHIPPED,EAST
ORD0135,CUST0440,2024-12-07 08:34:27,SHIPPED,WEST
ORD0136,CUST0469,2025-12-22 15:45:04,PLACED,WEST
ORD0137,CUST0496,01-04-2026 14:33:36,CANCELLED,SOUTH
